order_item_id,order_id,menu_item_id,quantity,unit_price,line_total
1,1,2944,1,402,402
2,1,2949,3,129,387
3,2,1710,2,242,484
4,2,1693,3,125,375
5,2,1697,2,193,386
6,3,626,3,157,471
7,3,628,2,156,312
8,4,744,1,239,239
9,4,748,2,168,336
10,4,745,2,75,150
11,4,762,1,87,87
12,5,876,1,225,225
13,5,882,1,315,315
14,5,866,1,127,127
15,5,872,2,192,384
16,6,1377,1,120,120
17,7,1783,1,160,160
18,7,1788,1,102,102
19,7,1780,1,177,177
20,7,1794,1,426,426
21,8,714,1,191,191
22,8,717,1,601,601
23,9,1928,1,136,136
24,9,1921,2,114,228
25,10,1007,1,274,274
26,10,1023,1,227,227
27,10,1014,3,344,1032
28,11,2227,1,120,120
29,11,2224,2,164,328
30,12,800,1,206,206
31,12,808,1,179,179
32,12,811,1,223,223
33,13,1297,1,407,407
34,13,1298,1,207,207
35,14,3135,2,212,424
36,15,1463,1,216,216
37,15,1477,3,445,1335
38,16,2371,1,208,208
39,16,2398,2,124,248
40,16,2397,2,349,698
41,16,2390,1,217,217
42,17,804,1,222,222
43,18,1754,1,379,379
44,19,2099,2,225,450
45,19,2085,1,356,356
46,20,319,3,178,534
47,20,324,1,140,140
48,20,328,1,344,344
49,20,327,1,63,63
50,21,2219,1,314,314
51,22,2235,1,124,124
52,22,2222,1,124,124
53,23,974,1,255,255
54,23,998,1,475,475
55,24,2675,1,324,324
56,25,2590,1,235,235
57,25,2609,2,185,370
58,26,1948,1,137,137
59,26,1952,1,161,161
60,27,1239,2,240,480
61,27,1244,1,619,619
62,28,2238,1,166,166
63,28,2241,1,301,301
64,28,2245,2,205,410
65,28,2257,1,149,149
66,29,2605,1,390,390
67,29,2611,1,447,447
68,30,1565,1,224,224
69,31,2562,1,180,180
70,31,2570,1,410,410
71,31,2586,1,114,114
72,31,2579,1,301,301
73,32,1837,1,132,132
74,33,1474,1,363,363
75,33,1478,3,432,1296
76,33,1477,2,445,890
77,34,2043,1,181,181
78,34,2056,1,562,562
79,34,2058,1,644,644
80,34,2045,1,536,536
81,35,2680,2,322,644
82,36,3075,1,408,408
83,36,3087,1,137,137
84,36,3078,1,146,146
85,37,177,1,239,239
86,37,174,1,240,240
87,37,165,2,218,436
88,38,2317,2,216,432
89,38,2310,1,161,161
90,39,96,1,288,288
91,39,95,2,107,214
92,40,1124,1,320,320
93,40,1123,1,181,181
94,40,1120,1,196,196
95,41,2220,1,170,170
96,41,2231,2,479,958
97,41,2235,1,124,124
98,41,2226,1,400,400
99,42,355,1,432,432
100,42,342,3,174,522
101,43,1458,2,282,564
102,43,1474,2,363,726
103,44,1001,2,820,1640
104,44,979,2,718,1436
105,45,2737,2,128,256
106,46,1460,2,412,824
107,46,1472,1,176,176
108,47,336,2,95,190
109,47,325,1,447,447
110,47,328,1,344,344
111,48,2778,1,338,338
112,48,2782,2,359,718
113,49,2596,1,101,101
114,49,2617,1,203,203
115,50,2874,1,152,152
116,50,2870,2,117,234
117,51,2515,2,231,462
118,51,2535,1,205,205
119,51,2513,2,253,506
120,52,1115,1,168,168
121,52,1117,2,217,434
122,52,1101,1,159,159
123,52,1106,1,361,361
124,53,2854,1,196,196
125,54,1922,1,321,321
126,54,1929,3,396,1188
127,55,3040,1,148,148
128,55,3055,1,117,117
129,55,3042,1,291,291
130,55,3061,1,343,343
131,56,3074,1,247,247
132,56,3075,2,408,816
133,57,1684,2,89,178
134,57,1691,1,178,178
135,58,95,1,107,107
136,58,92,1,353,353
137,59,417,1,100,100
138,60,2566,1,335,335
139,60,2583,1,298,298
140,61,1914,1,116,116
141,61,1919,1,363,363
142,61,1940,1,244,244
143,62,2521,1,219,219
144,63,614,1,297,297
145,63,617,1,112,112
146,63,625,1,235,235
147,63,616,1,213,213
148,63,619,1,199,199
149,64,733,2,105,210
150,64,721,1,455,455
151,65,1455,2,250,500
152,65,1476,2,142,284
153,65,1467,1,250,250
154,65,1462,1,121,121
155,66,407,3,134,402
156,67,2949,1,129,129
157,67,2954,1,524,524
158,68,2143,1,292,292
159,68,2136,1,313,313
160,68,2141,1,240,240
161,69,2092,1,162,162
162,69,2089,1,416,416
163,70,2715,1,133,133
164,70,2704,1,94,94
165,70,2720,1,239,239
166,71,2727,1,94,94
167,71,2720,1,239,239
168,71,2709,1,137,137
169,71,2713,1,56,56
170,72,154,2,102,204
171,72,153,2,133,266
172,72,140,1,203,203
173,72,141,2,401,802
174,73,2211,1,124,124
175,73,2205,2,247,494
176,73,2204,2,258,516
177,73,2214,2,174,348
178,74,2615,2,83,166
179,74,2599,2,67,134
180,75,2190,2,332,664
181,76,1569,1,197,197
182,77,1781,1,75,75
183,78,2689,1,334,334
184,79,2541,2,208,416
185,80,286,1,302,302
186,81,2235,1,124,124
187,82,2860,1,115,115
188,82,2873,1,378,378
189,82,2868,1,110,110
190,82,2867,1,105,105
191,82,2870,1,117,117
192,83,2600,2,316,632
193,83,2618,1,275,275
194,83,2610,1,324,324
195,83,2611,1,447,447
196,84,2025,1,156,156
197,84,2023,1,117,117
198,85,1285,1,104,104
199,85,1300,1,375,375
200,86,1406,2,262,524
201,86,1386,2,180,360
202,86,1378,1,156,156
203,87,2565,1,122,122
204,87,2586,1,114,114
205,87,2572,1,160,160
206,88,1896,1,272,272
207,88,1900,1,333,333
208,89,1077,1,230,230
209,89,1064,1,432,432
210,89,1059,3,153,459
211,89,1061,2,302,604
212,90,1905,1,521,521
213,90,1899,1,370,370
214,91,266,2,148,296
215,91,242,2,315,630
216,91,288,2,644,1288
217,92,2784,1,83,83
218,92,2772,2,236,472
219,92,2778,2,338,676
220,93,2251,2,162,324
221,93,2248,2,122,244
222,94,2245,1,205,205
223,94,2238,2,166,332
224,94,2262,1,73,73
225,95,1338,1,277,277
226,96,1628,2,178,356
227,96,1626,1,73,73
228,96,1638,1,143,143
229,96,1623,1,177,177
230,97,1089,2,289,578
231,97,1111,1,350,350
232,97,1085,1,401,401
233,98,2234,2,75,150
234,99,2132,1,187,187
235,99,2152,1,216,216
236,100,1626,1,73,73
237,100,1622,1,197,197
238,101,1263,1,469,469
239,102,339,1,469,469
240,102,335,1,478,478
241,102,330,1,386,386
242,103,2850,2,175,350
243,103,2838,1,176,176
244,104,3049,1,203,203
245,104,3047,3,254,762
246,104,3064,3,403,1209
247,104,3042,1,291,291
248,105,1445,1,124,124
249,106,328,3,344,1032
250,106,337,1,472,472
251,107,2403,1,146,146
252,108,2637,1,127,127
253,108,2636,1,294,294
254,109,521,2,322,644
255,109,518,3,434,1302
256,110,10,2,135,270
257,110,2,2,282,564
258,110,7,1,121,121
259,111,532,1,402,402
260,111,523,2,113,226
261,112,516,1,435,435
262,112,497,1,208,208
263,112,493,2,420,840
264,113,966,2,230,460
265,113,964,1,387,387
266,113,1001,1,820,820
267,113,968,1,439,439
268,113,974,2,255,510
269,114,2507,1,910,910
270,114,2470,1,157,157
271,115,2312,2,234,468
272,115,2314,1,270,270
273,115,2321,2,91,182
274,115,2325,3,161,483
275,116,1183,2,227,454
276,116,1171,1,184,184
277,116,1184,1,318,318
278,116,1169,1,255,255
279,117,2645,1,100,100
280,117,2659,2,190,380
281,117,2658,1,254,254
282,117,2654,1,136,136
283,118,338,1,255,255
284,119,1243,1,135,135
285,119,1237,2,122,244
286,119,1230,1,300,300
287,119,1236,1,214,214
288,119,1234,1,134,134
289,120,1520,1,135,135
290,120,1500,1,393,393
291,121,764,1,345,345
292,121,758,1,175,175
293,122,2728,1,138,138
294,122,2722,1,166,166
295,122,2720,1,239,239
296,122,2719,1,79,79
297,122,2721,1,239,239
298,123,1628,1,178,178
299,123,1624,1,112,112
300,123,1620,1,162,162
301,124,2780,1,113,113
302,124,2781,2,109,218
303,124,2783,3,137,411
304,124,2778,1,338,338
305,125,2025,1,156,156
306,125,2020,2,266,532
307,125,2024,1,238,238
308,125,2016,1,222,222
309,125,2033,1,171,171
310,126,1660,1,113,113
311,126,1670,1,276,276
312,127,1231,1,187,187
313,127,1233,1,100,100
314,128,90,2,61,122
315,128,110,2,211,422
316,128,100,2,218,436
317,128,96,1,288,288
318,129,1330,2,117,234
319,129,1343,1,278,278
320,130,748,1,168,168
321,130,764,3,345,1035
322,131,2258,1,205,205
323,131,2245,1,205,205
324,132,2681,1,229,229
325,133,156,1,534,534
326,133,140,1,203,203
327,133,159,1,502,502
328,134,2038,1,521,521
329,135,3082,1,136,136
330,135,3089,2,283,566
331,136,2106,1,93,93
332,136,2126,1,148,148
333,136,2113,1,189,189
334,137,3098,1,83,83
335,138,1386,1,180,180
336,139,718,1,526,526
337,139,722,1,593,593
338,140,2967,3,122,366
339,141,1883,1,300,300
340,142,2620,2,188,376
341,142,2635,2,109,218
342,143,1698,1,233,233
343,143,1699,1,106,106
344,144,2668,1,370,370
345,144,2683,1,179,179
346,145,2057,1,491,491
347,145,2056,1,562,562
348,145,2039,1,83,83
349,146,1483,1,162,162
350,146,1484,2,216,432
351,146,1492,1,196,196
352,146,1489,2,379,758
353,146,1496,1,178,178
354,147,339,2,469,938
355,147,333,1,90,90
356,147,319,1,178,178
357,148,937,1,164,164
358,148,934,2,358,716
359,149,1983,1,887,887
360,149,1992,1,420,420
361,150,415,1,347,347
362,150,405,1,156,156
363,151,331,1,496,496
364,151,324,2,140,280
365,151,322,1,538,538
366,152,2609,2,185,370
367,152,2600,1,316,316
368,152,2591,1,324,324
369,153,1443,1,136,136
370,153,1449,1,239,239
371,154,1696,2,264,528
372,154,1703,1,246,246
373,154,1705,1,275,275
374,155,878,1,174,174
375,155,869,1,135,135
376,156,1171,1,184,184
377,157,2359,2,215,430
378,157,2358,2,187,374
379,157,2363,1,131,131
380,157,2355,2,100,200
381,158,1142,2,481,962
382,158,1138,2,230,460
383,158,1125,1,243,243
384,158,1128,1,311,311
385,158,1119,1,482,482
386,159,2605,1,390,390
387,159,2616,1,306,306
388,159,2595,1,433,433
389,160,472,1,450,450
390,160,446,1,269,269
391,161,3120,1,134,134
392,161,3124,1,108,108
393,161,3126,1,155,155
394,162,1611,1,229,229
395,162,1600,1,71,71
