order_id,customer_id,restaurant_id,rider_id,calendar_id,weather_id,payment_id,promotion_id,order_timestamp,delivered_timestamp,order_status,delivery_minutes,delivery_fee,platform_fee,cancellation_reason
1,1861,114,167,162,162,3,,2024-06-10 08:03:00,2024-06-10 08:38:00,Delivered,35.0,25,10,
2,1091,65,243,231,231,4,,2024-08-18 22:22:00,2024-08-18 23:04:00,Delivered,42.0,25,10,
3,31,22,201,121,121,1,,2024-04-30 13:13:00,2024-04-30 13:41:00,Delivered,28.0,25,10,
4,406,27,4,156,156,5,,2024-06-04 13:16:00,2024-06-04 13:42:00,Delivered,26.0,60,10,
5,548,32,150,95,95,1,,2024-04-04 14:24:00,2024-04-04 15:18:00,Delivered,54.0,40,10,
6,971,52,72,5,5,4,,2024-01-05 12:12:00,2024-01-05 12:34:00,Delivered,22.0,0,10,
7,1069,68,141,616,616,1,4.0,2025-09-07 20:16:00,2025-09-07 20:49:00,Delivered,33.0,40,10,
8,386,26,121,513,513,2,9.0,2025-05-27 20:18:00,2025-05-27 20:54:00,Delivered,36.0,40,10,
9,1297,73,292,251,251,3,,2024-09-07 22:25:00,2024-09-07 22:56:00,Delivered,31.0,40,10,
10,641,37,175,362,362,1,,2024-12-27 13:26:00,2024-12-27 13:59:00,Delivered,33.0,40,10,
11,1391,85,1,440,440,3,10.0,2025-03-15 22:36:00,2025-03-15 23:20:00,Delivered,44.0,25,10,
12,184,29,100,250,250,5,,2024-09-06 07:19:00,,Cancelled,,40,10,Customer Cancelled
13,709,48,57,299,299,4,,2024-10-25 13:52:00,2024-10-25 14:45:00,Delivered,53.0,25,10,
14,1915,120,241,538,538,2,,2025-06-21 16:32:00,2025-06-21 17:18:00,Delivered,46.0,40,10,
15,1040,55,111,59,59,4,,2024-02-28 19:08:00,2024-02-28 19:53:00,Delivered,45.0,40,10,
16,1676,92,106,480,480,1,,2025-04-24 12:10:00,2025-04-24 12:58:00,Delivered,48.0,25,10,
17,69,29,93,175,175,1,,2024-06-23 13:22:00,2024-06-23 13:56:00,Delivered,34.0,25,10,
18,916,67,277,187,187,1,5.0,2024-07-05 12:13:00,2024-07-05 12:35:00,Delivered,22.0,0,10,
19,1236,79,276,88,88,3,,2024-03-28 12:03:00,2024-03-28 13:01:00,Delivered,58.0,25,10,
20,93,12,260,306,306,3,,2024-11-01 14:34:00,2024-11-01 15:18:00,Delivered,44.0,0,10,
21,1477,85,1,270,270,1,10.0,2024-09-26 22:26:00,2024-09-26 22:57:00,Delivered,31.0,40,10,
22,1305,85,242,351,351,4,,2024-12-16 10:06:00,2024-12-16 10:48:00,Delivered,42.0,40,10,
23,543,36,227,470,470,5,,2025-04-14 09:46:00,2025-04-14 10:24:00,Delivered,38.0,40,10,
24,1753,103,215,191,191,3,8.0,2024-07-09 07:13:00,2024-07-09 07:55:00,Delivered,42.0,60,10,
25,1697,100,126,656,656,5,11.0,2025-10-17 12:15:00,2025-10-17 12:46:00,Delivered,31.0,25,10,
26,1363,74,7,618,618,2,9.0,2025-09-09 20:32:00,2025-09-09 21:03:00,Delivered,31.0,25,10,
27,663,46,110,665,665,2,,2025-10-26 07:17:00,2025-10-26 07:38:00,Delivered,21.0,25,10,
28,1484,86,51,619,619,2,,2025-09-10 17:29:00,2025-09-10 18:17:00,Delivered,48.0,40,10,
29,1510,100,168,20,20,4,,2024-01-20 22:21:00,2024-01-20 22:48:00,Delivered,27.0,25,10,
30,967,59,116,87,87,4,,2024-03-27 19:11:00,2024-03-27 20:08:00,Delivered,57.0,40,10,
31,1654,99,35,137,137,2,,2024-05-16 12:43:00,2024-05-16 13:09:00,Delivered,26.0,25,10,
32,834,70,154,436,436,2,,2025-03-11 13:57:00,2025-03-11 14:18:00,Delivered,21.0,40,10,
33,952,55,75,335,335,2,,2024-11-30 19:20:00,2024-11-30 20:14:00,Delivered,54.0,40,10,
34,1265,77,159,53,53,5,,2024-02-22 14:24:00,2024-02-22 15:14:00,Delivered,50.0,25,10,
35,1977,103,226,314,314,3,,2024-11-09 14:54:00,2024-11-09 15:17:00,Delivered,23.0,60,10,
36,1814,118,80,604,604,2,7.0,2025-08-26 14:11:00,2025-08-26 14:32:00,Delivered,21.0,0,10,
