review_id,order_id,customer_id,restaurant_id,rider_id,rating,review_sentiment,complaint_flag,complaint_category,review_text
1,1,1861,114,167,5,Positive,False,,Quick delivery and tasty food.
2,3,31,22,201,4,Positive,False,,Quick delivery and tasty food.
3,4,406,27,4,4,Positive,False,,Quick delivery and tasty food.
4,5,548,32,150,5,Positive,False,,Highly recommended.
5,7,1069,68,141,5,Positive,False,,Excellent service!
6,8,386,26,121,4,Positive,False,,Highly recommended.
7,9,1297,73,292,4,Positive,False,,Loved the food.
8,10,641,37,175,5,Positive,False,,Quick delivery and tasty food.
9,11,1391,85,1,5,Positive,False,,Excellent service!
10,13,709,48,57,5,Positive,False,,Will definitely order again.
11,14,1915,120,241,1,Negative,True,Late Delivery,Packaging was damaged.
12,15,1040,55,111,4,Positive,False,,Loved the food.
13,16,1676,92,106,5,Positive,False,,Highly recommended.
14,17,69,29,93,4,Positive,False,,Quick delivery and tasty food.
15,19,1236,79,276,5,Positive,False,,Loved the food.
16,20,93,12,260,3,Neutral,False,,Nothing special.
17,21,1477,85,1,5,Positive,False,,Loved the food.
18,22,1305,85,242,4,Positive,False,,Highly recommended.
19,23,543,36,227,5,Positive,False,,Highly recommended.
20,24,1753,103,215,4,Positive,False,,Will definitely order again.
21,25,1697,100,126,5,Positive,False,,Loved the food.
22,28,1484,86,51,4,Positive,False,,Will definitely order again.
23,29,1510,100,168,5,Positive,False,,Excellent service!
24,30,967,59,116,1,Negative,True,Wrong Item,Received the wrong order.
25,34,1265,77,159,4,Positive,False,,Excellent service!
26,37,452,7,236,2,Negative,True,Rider Behaviour,Received the wrong order.
27,38,1467,89,7,4,Positive,False,,Quick delivery and tasty food.
28,39,269,4,83,3,Neutral,False,,Delivery was acceptable.
29,41,1460,85,204,5,Positive,False,,Quick delivery and tasty food.
30,42,427,13,182,4,Positive,False,,Loved the food.
31,44,800,36,152,3,Neutral,False,,Average experience.
32,45,1730,105,286,4,Positive,False,,Will definitely order again.
33,46,1068,55,288,4,Positive,False,,Quick delivery and tasty food.
34,47,313,12,203,5,Positive,False,,Quick delivery and tasty food.
35,51,1522,97,157,3,Neutral,False,,Nothing special.
36,53,1950,109,155,5,Positive,False,,Quick delivery and tasty food.
